source,dest,connections
D. Karagiannis (117,University of Copenhagen,2
D. Karagiannis (117,2200 Copenhagen,2
D. Karagiannis (117,University of Waterloo,2
D. Karagiannis (117,Ontario N2L 3G1,2
D. Karagiannis (117,Australia,2
D. Karagiannis (117,18,2
D. Karagiannis (117,127,2
D. Karagiannis (117,DH1 3LE,2
D. Karagiannis (117,62),2
D. Karagiannis (117,Via Marzolo 8,2
D. Karagiannis (117,35131 Padova,2
D. Karagiannis (117,CNES,2
D. Karagiannis (117,Marseille,2
D. Karagiannis (117,Via Brera 28,2
D. Karagiannis (117,20122 Milano,2
D. Karagiannis (117,Universit\'e Paris Cit\'e,2
D. Karagiannis (117,CEA,2
D. Karagiannis (117,Departamento de Astrof\'isica,2
D. Karagiannis (117,38200,2
D. Karagiannis (117,30),2
D. Karagiannis (117,Via Celoria 16,2
D. Karagiannis (117,California Institute of Technology,2
D. Karagiannis (117,,2
D. Karagiannis (117,"Gustaf H\""allstr\""omin katu 2",2
D. Karagiannis (117,La Laguna,2
D. Karagiannis (117,Universit\'e PSL,2
D. Karagiannis (117,92190 Meudon,2
D. Karagiannis (117,Arts of Northwestern Switzerland,2
D. Karagiannis (117,5210 Windisch,2
D. Karagiannis (117,00185 Roma,2
D. Karagiannis (117,Durham University,2
D. Karagiannis (117,South Road,2
D. Karagiannis (117,Durham,2
D. Karagiannis (117,Firenze,2
D. Karagiannis (117,Observatoire de Sauverny,2
D. Karagiannis (117,Viale Berti Pichat 6/2,2
D. Karagiannis (117,40127 Bologna,2
D. Karagiannis (117,59000 Lille,2
D. Karagiannis (117,Via Cinthia 6,2
D. Karagiannis (117,80126,2
D. Karagiannis (117,Napoli,2
D. Karagiannis (117,Rua das Estrelas,2
D. Karagiannis (117,Via P. Giuria 1,2
D. Karagiannis (117,Leiden University,2
D. Karagiannis (117,2333 CA Leiden,2
D. Karagiannis (117,Einsteinweg 55,2
D. Karagiannis (117,08193 Bellaterra (Barcelona),2
D. Karagiannis (117,IP2I Lyon,2
D. Karagiannis (117,Campo Grande,2
D. Karagiannis (117,1290 Versoix,2
D. Karagiannis (117,10125 Torino,2
D. Karagiannis (117,Madingley Road,2
D. Karagiannis (117,Sweden,2
G. Rodighiero (4,Via Marzolo 8,2
G. Rodighiero (4,35131 Padova,2
G. Rodighiero (4,Marseille,2
G. Rodighiero (4,Via Brera 28,2
G. Rodighiero (4,20122 Milano,2
G. Rodighiero (4,Universit\'e Paris Cit\'e,2
G. Rodighiero (4,CEA,2
G. Rodighiero (4,Departamento de Astrof\'isica,2
G. Rodighiero (4,38200,2
G. Rodighiero (4,La Laguna,2
G. Rodighiero (4,Firenze,2
G. Rodighiero (4,Observatoire de Sauverny,2
G. Rodighiero (4,Viale Berti Pichat 6/2,2
G. Rodighiero (4,CNES,2
G. Rodighiero (4,Sweden,2
G. Rodighiero (4,40127 Bologna,2
G. Rodighiero (4,75014,2
G. Rodighiero (4,University of Copenhagen,2
G. Rodighiero (4,2200 Copenhagen,2
G. Rodighiero (4,University of Waterloo,2
G. Rodighiero (4,Ontario N2L 3G1,2
G. Rodighiero (4,30202 Cartagena,2
G. Rodighiero (4,Via Giuseppe Saragat 1,2
G. Rodighiero (4,44122 Ferrara,2
G. Rodighiero (4,Australia,2
G. Rodighiero (4,Madingley Road,2
G. Rodighiero (4,Leiden University,2
G. Rodighiero (4,2333 CA Leiden,2
G. Rodighiero (4,Einsteinweg 55,2
G. Rodighiero (4,08193 Bellaterra (Barcelona),2
G. Rodighiero (4,IP2I Lyon,2
G. Rodighiero (4,59000 Lille,2
G. Rodighiero (4,Via Cinthia 6,2
G. Rodighiero (4,80126,2
G. Rodighiero (4,Napoli,2
G. Rodighiero (4,Rua das Estrelas,2
G. Rodighiero (4,Via P. Giuria 1,2
G. Rodighiero (4,10125 Torino,2
G. Rodighiero (4,"Gustaf H\""allstr\""omin katu 2",2
G. Rodighiero (4,Universit\'e PSL,2
G. Rodighiero (4,92190 Meudon,2
G. Rodighiero (4,5210 Windisch,2
G. Rodighiero (4,00185 Roma,2
G. Rodighiero (4,Durham University,2
G. Rodighiero (4,South Road,2
G. Rodighiero (4,Durham,2
G. Rodighiero (4,DH1 3LE,2
G. Rodighiero (4,Arts of Northwestern Switzerland,2
G. Rodighiero (4,Campo Grande,2
G. Rodighiero (4,1290 Versoix,2
G. Rodighiero (4,Via Celoria 16,2
G. Rodighiero (4,California Institute of Technology,2
G. Rodighiero (4,,2
21),F. Hormuth (72),1
21),I. M. Hook (71),1
21),W. Holmes (70),1
21),S. V. H. Haugan (69),1
21),10,1
21),L. Guzzo (67,1
21),14),1
21),F. Grupp (66,1
21),A. Grazian (5),1
21),J. Gracia-Carpio (66),1
21),C. Giocoli (2,1
21),B. Gillis (52),1
21),W. Gillard (63),1
21),K. George (14),1
21),E. Franceschi (2),1
21),M. Frailis (18),1
21),N. Fourmanoit (63),1
21),F. Finelli (2,1
21),S. Ferriol (55),1
21),64),1
21),F. Faustini (48,1
21),R. Farinelli (2),1
21),M. Farina (15),1
21),S. Escoffier (63),1
21),A. Ealet (55),1
21),S. Dusini (62),1
21),X. Dupac (9),1
21),F. Dubath (61),1
21),M. Douspis (27),1
21),S. Galeotta (18),1
21),S. Mei (90,1
21),E. Medinaceli (2),1
21),R. J. Massey (89),1
21),F. Marulli (1,1
21),N. Martinet (7),1
21),M. Martinelli (48,1
21),O. Marggraf (87),1
21),S. Marcin (86),1
21),O. Mansutti (18),1
21),E. Maiorano (2),1
21),3,1
21),D. Maino (67,1
21),G. Mainetti (85),1
21),I. Lloro (84),1
21),A. Hornstrup (73,1
21),P. B. Lilje (69),1
21),S. Ligori (41),1
21),A. M. C. Le Brun (83),1
21),H. Kurki-Suonio (81,1
21),M. Kunz (80),1
21),"M. K\""ummel (14)",1
21),B. Kubik (55),1
21),A. Kiessling (70),1
21),S. Kermiche (63),1
21),"E. Keih\""anen (79)",1
21),B. Joachimi (78),1
21),M. Jhabvala (77),1
21),K. Jahnke (76),1
21),P. Hudelot (75),1
21),74),1
21),V. Lindholm (81,1
21),M. Brescia (35,1
21),E. Branchini (33,1
21),A. Biviano (18,1
21),S. Bardelli (2),1
21),M. Baldi (8,1
21),31),1
21),C. Baccigalupi (29,1
21),N. Auricchio (2),1
21),S. Andreon (10),1
21),A. Amara (28),1
21),N. Aghanim (27),1
21),27),1
21),J. G. Sorce (26,1
21),25),1
21),H. Dole (27),1
21),A. Cimatti (23),1
21),M. Hirschmann (22),1
21),L. Wang (24,1
21),S. de la Torre (7),1
21),H. Degaudenzi (61),1
21),60),1
21),A. Da Silva (59,1
21),H. M. Courtois (58),1
21),57),1
21),F. Courbin (56,1
21),Y. Copin (55),1
21),9),1
21),L. Conversi (54,1
21),C. J. Conselice (53),1
21),G. Congedo (52),1
21),C. Colodro-Conde (51),1
21),K. C. Chambers (50),1
21),13),1
21),S. Cavuoti (13,1
21),G. Castignani (2),1
21),M. Castellano (48),1
21),S. Casas (47),1
21),J. Carretero (45,1
21),C. Carbone (3),1
21),V. Capobianco (41),1
21),43,1
21),G. Ca\~nas-Herrera (42,1
21),41),1
21),40,1
21),S. Camera (39,1
21),38),1
21),37,1
21),J. Brinchmann (36,1
21),49),1
21),N. Mauri (23,1
21),S. Matthew (52),1
21),J. Mart\'in-Fleitas (123),1
21),122),1
21),121,1
21),16,1
21),M. Huertas-Company (51,1
21),J. A. Escartin Vigo (66),1
21),D. Di Ferdinando (32),1
21),120),1
21),A. Cappi (2,1
21),R. Cabanac (106),1
21),C. Burigana (119,1
21),E. Bozzo (61),1
21),91),1
21),M. Ballardini (117,1
21),E. Zucca (2),1
21),J. Weller (14,1
21),Y. Wang (112),1
21),D. Vibert (7),1
21),33),1
21),A. Veropalumbo (10,1
21),G. Verdoes Kleijn (25),1
21),T. Vassallo (14,1
21),J. Valiviita (81,1
21),L. Valenziano (2,1
21),106),1
21),I. Tutusaus (17,1
21),45),1
21),F. Torradeflot (46,1
21),118,1
21),A. Calabro (48),1
21),S. Bruton (137),1
21),M. L. Brown (53),1
21),S. Borgani (136,1
21),83),1
21),L. Blot (135,1
21),A. Blanchard (106),1
21),M. Bethermin (134),1
21),5,1
21),D. Bertacca (4,1
21),P. Bergamini (67,1
21),F. Atrio-Barandela (133),1
21),M. Archidiacono (67,1
21),132),1
21),R. B. Metcalf (1,1
21),S. Anselmi (62,1
21),131),1
21),I. T. Andika (130,1
21),129),1
21),Y. Akrami (128,1
21),M. Wiesmann (69),1
21),M. Viel (29,1
21),M. Tenti (32),1
21),M. Sereno (2,1
21),126),1
21),V. Scottez (93,1
21),I. Risso (125),1
21),C. Porciani (87),1
21),"M. P\""ontinen (81)",1
21),A. Pezzotta (124,1
21),4,1
21),E. Romelli (18),1
21),G. Riccio (13),1
21),J. Rhodes (70),1
21),A. Renzi (4,1
21),104),1
21),103,1
21),R. Rebolo (51,1
21),F. Raison (66),1
21),L. A. Popa (102),1
21),M. Poncet (101),1
21),G. Polenta (64),1
21),S. Pires (12),1
21),V. Pettorino (42),1
21),100),1
21),R. Toledo-Moreo (116),1
21),W. J. Percival (98,1
21),K. Pedersen (97),1
21),F. Pasian (18),1
21),S. Paltani (61),1
21),C. Padilla (96),1
21),S.-M. Niemi (42),1
21),C. Neissner (96,1
21),L. Moscardini (1,1
21),A. Mora (95),1
21),G. Meylan (94),1
21),E. Merlin (48),1
21),M. Meneghetti (2,1
21),75),1
21),Y. Mellier (93,1
21),M. Melchior (92),1
21),99,1
21),115),1
21),S. Toft (114,1
21),113),1
21),I. Tereno (59,1
21),H. I. Teplitz (112),1
21),A. N. Taylor (52),1
21),D. Tavagnacco (18),1
21),P. Tallada-Cresp\'i (45,1
21),J. Steinwagner (66),1
21),J.-L. Starck (12),1
21),L. Stanco (62),1
21),G. Sirri (32),1
21),C. Sirignano (4,1
21),P. Simon (87),1
21),M. Roncarelli (2),1
